Activity,Sex,Age,Type,Species,Fatal
Other,F,57,Boating,white shark,N
Swimming,M,18,Unprovoked,tiger shark,Y
Fishing,M,52,Unprovoked,Other,N
Other,M,15,Unprovoked,bull shark,N
Other,M,32,Provoked,Other,N
Fishing,M,21,Invalid,Other,N
Other,F,34,Provoked,Other,N
Scuba diving,M,30,Unprovoked,tiger shark,N
Surfing,M,60,Unprovoked,unknown,N
Fishing,M,32,Unprovoked,tiger shark,N
Other,M,33,Unprovoked,white shark,N
boarding,M,29,Unprovoked,unknown,N
Swimming,M,54,Unprovoked,Other,N
Fishing,M,56,Invalid,unknown,N
Swimming,M,12,Unprovoked,bull shark,N
Surfing,M,19,Unprovoked,white shark,N
boarding,M,25,Unprovoked,tiger shark,N
Wading,M,10,Unprovoked,wobbegong shark,N
Swimming,M,69,Unprovoked,unknown,N
Surfing,M,18,Unprovoked,unknown,N
Scuba diving,M,38,Unprovoked,blacktip shark,N
Swimming,F,55,Unprovoked,white shark,N
Other,M,35,Unprovoked,bull shark,N
Other,F,46,Invalid,Other,N
Snorkeling,M,45,Unprovoked,Other,N
Spearfishing,M,14,Invalid,unknown,N
Other,M,28,Unprovoked,white shark,N
Surfing,M,20,Unprovoked,unknown,N
Surfing,F,54,Unprovoked,tiger shark,N
Wading,M,24,Provoked,Other,N
Snorkeling,F,25,Unprovoked,nurse shark,N
Scuba diving,M,26,Unprovoked,tiger shark,N
Scuba diving,F,49,Unprovoked,tiger shark,Y
Spearfishing,M,25,Unprovoked,white shark,N
Surfing,M,25,Unprovoked,unknown,N
Other,M,22,Unprovoked,tiger shark,Y
Snorkeling,M,7,Unprovoked,Other,N
Surfing,M,31,Unprovoked,wobbegong shark,N
Fishing,F,15,Unprovoked,white shark,N
Surfing,M,54,Unprovoked,tiger shark,N
Snorkeling,F,40,Unprovoked,unknown,N
Surfing,M,13,Unprovoked,unknown,N
Surfing,M,18,Unprovoked,unknown,N
Surfing,M,35,Unprovoked,white shark,N
Surfing,M,37,Unprovoked,white shark,N
Other,M,69,Unprovoked,white shark,N
Swimming,M,13,Unprovoked,blacktip shark,N
