Row,Activity,Sex,Age,Type,Species,Fatal
761,Swimming,M,20,Unprovoked,unknown,N
1733,Other,M,24,Unprovoked,white shark,N
141,Surfing,M,15,Unprovoked,unknown,N
188,Surfing,M,35,Unprovoked,unknown,N
686,Surfing,F,38,Unprovoked,white shark,N
1256,Other,M,16,Unprovoked,tiger shark,Y
1876,Swimming,M,12,Unprovoked,bull shark,Y
420,Surfing,M,20,Unprovoked,bull shark,N
1263,Other,M,28,Unprovoked,white shark,Y
628,Scuba diving,M,52,Unprovoked,white shark,N
1267,Scuba diving,M,33,Provoked,Other,N
668,Swimming,M,33,Unprovoked,unknown,N
1159,Other,M,44,Boating,white shark,N
303,Surfing,M,25,Unprovoked,white shark,N
1113,Surfing,M,20,Unprovoked,white shark,N
1584,Fishing,F,54,Unprovoked,unknown,N
431,Surfing,M,34,Unprovoked,unknown,N
43,Surfing,M,35,Unprovoked,white shark,N
1430,Surfing,M,16,Unprovoked,white shark,N
411,Standing,F,37,Unprovoked,unknown,N
372,Other,M,7,Invalid,unknown,N
791,Surfing,M,16,Unprovoked,tiger shark,N
183,Swimming,M,52,Unprovoked,Other,Y
75,Surfing,M,17,Unprovoked,white shark,N
258,Swimming,M,21,Unprovoked,bull shark,N
1870,Other,M,40,Unprovoked,unknown,N
207,Swimming,M,50,Unprovoked,unknown,Y
1834,Swimming,M,21,Unprovoked,tiger shark,N
1664,Other,M,22,Unprovoked,tiger shark,Y
1771,Standing,M,18,Unprovoked,white shark,N
116,Surfing,M,43,Unprovoked,bronze whaler,N
661,Other,F,14,Unprovoked,unknown,N
593,Fishing,M,25,Provoked,raggedoth shark,N
894,boarding,F,14,Unprovoked,unknown,N
391,Other,M,49,Unprovoked,white shark,Y
1767,Other,M,22,Unprovoked,blacktip shark,N
1510,Other,M,22,Unprovoked,white shark,N
1083,Swimming,F,26,Unprovoked,bull shark,N
1041,Other,F,14,Unprovoked,blacktip shark,N
926,Surfing,M,21,Unprovoked,unknown,N
220,Surfing,M,19,Unprovoked,unknown,N
673,Surfing,M,40,Unprovoked,bronze whaler,N
338,Scuba diving,M,33,Unprovoked,white shark,Y
1166,Surfing,M,29,Unprovoked,unknown,N
1607,Swimming,M,38,Unprovoked,Other,Y
1129,Snorkeling,F,41,Unprovoked,tiger shark,Y
1327,Scuba diving,F,44,Provoked,Other,N
332,Fishing,M,30,Boating,white shark,N
205,Surfing,M,23,Unprovoked,white shark,N
254,Swimming,M,74,Unprovoked,white shark,Y
1163,Other,M,22,Unprovoked,white shark,N
24,Snorkeling,M,45,Unprovoked,Other,N
561,Snorkeling,M,36,Unprovoked,unknown,N
873,Other,M,48,Unprovoked,white shark,N
905,Surfing,M,35,Unprovoked,white shark,N
1688,Standing,M,17,Provoked,unknown,N
1034,Surfing,M,16,Unprovoked,unknown,N
660,Swimming,M,22,Unprovoked,unknown,N
164,Surfing,F,37,Invalid,white shark,N
783,Surfing,M,47,Unprovoked,unknown,N
1202,Spearfishing,M,28,Unprovoked,Other,N
247,boarding,M,46,Unprovoked,tiger shark,N
806,Fishing,M,55,Provoked,blacktip shark,N
1068,Surfing,M,15,Unprovoked,unknown,N
833,Surfing,M,17,Unprovoked,unknown,N
1292,Other,M,28,Unprovoked,white shark,N
1489,Swimming,M,18,Unprovoked,unknown,N
1378,Surfing,M,21,Unprovoked,unknown,N
1565,Other,M,39,Provoked,unknown,N
785,Surfing,M,24,Unprovoked,unknown,N
1618,Standing,M,13,Unprovoked,white shark,N
1818,Swimming,M,27,Unprovoked,white shark,Y
1715,Swimming,M,35,Unprovoked,unknown,N
968,Surfing,M,23,Unprovoked,Other,N
1548,Swimming,F,42,Unprovoked,white shark,Y
787,Swimming,M,19,Unprovoked,bull shark,N
1144,Swimming,F,65,Unprovoked,tiger shark,Y
1718,Other,M,30,Unprovoked,unknown,N
1106,Other,M,46,Boating,white shark,N
455,Fishing,M,56,Unprovoked,bull shark,N
945,Surfing,M,28,Unprovoked,unknown,N
1259,Surfing,F,23,Unprovoked,unknown,N
1713,Spearfishing,M,12,Unprovoked,unknown,N
56,boarding,M,48,Unprovoked,white shark,N
1322,Other,M,25,Unprovoked,unknown,N
1137,Other,F,40,Boating,white shark,N
1488,Fishing,M,18,Provoked,Other,N
640,Wading,M,15,Unprovoked,unknown,N
639,Surfing,M,26,Unprovoked,white shark,N
354,Swimming,M,10,Unprovoked,wobbegong shark,N
1667,Fishing,M,42,Unprovoked,unknown,N
533,Surfing,M,24,Unprovoked,unknown,N
1643,Other,M,19,Unprovoked,unknown,N
766,Swimming,M,54,Unprovoked,unknown,N
1405,Swimming,M,33,Unprovoked,unknown,N
1131,Surfing,M,21,Unprovoked,unknown,N
4,Other,M,32,Provoked,Other,N
980,Surfing,M,19,Unprovoked,Other,N
1261,Surfing,M,25,Unprovoked,white shark,N
1092,Other,F,12,Unprovoked,unknown,N
1705,Surfing,M,25,Provoked,Other,N
750,Wading,M,22,Unprovoked,unknown,N
982,Standing,M,50,Unprovoked,blacktip shark,N
889,Standing,F,19,Unprovoked,unknown,N
300,Surfing,M,14,Unprovoked,unknown,N
1770,Swimming,M,12,Unprovoked,unknown,N
350,Surfing,M,28,Unprovoked,unknown,N
1182,Surfing,M,34,Unprovoked,white shark,N
215,boarding,M,10,Unprovoked,unknown,N
1611,Spearfishing,M,21,Unprovoked,white shark,N
737,boarding,M,19,Unprovoked,white shark,Y
1631,Swimming,F,16,Unprovoked,white shark,N
1736,Other,M,40,Unprovoked,unknown,N
1564,Fishing,M,49,Provoked,Other,N
321,Swimming,M,6,Unprovoked,bull shark,N
49,Other,M,40,Boating,white shark,N
509,Other,F,40,Boating,white shark,N
44,Surfing,M,37,Unprovoked,white shark,N
713,Surfing,M,57,Unprovoked,tiger shark,Y
85,Surfing,M,61,Unprovoked,white shark,N
1019,Swimming,M,7,Unprovoked,Other,N
797,Swimming,F,15,Unprovoked,bull shark,N
1656,Other,M,43,Unprovoked,tiger shark,N
1457,Surfing,M,22,Unprovoked,unknown,N
418,Surfing,M,19,Unprovoked,unknown,N
279,Fishing,M,51,Unprovoked,grey nurse,N
227,Other,F,29,Unprovoked,bull shark,N
729,Surfing,M,18,Unprovoked,unknown,N
17,Wading,M,10,Unprovoked,wobbegong shark,N
118,Fishing,M,26,Unprovoked,bull shark,N
1460,Spearfishing,M,23,Unprovoked,unknown,Y
61,Surfing,F,17,Unprovoked,white shark,Y
1711,Swimming,M,25,Unprovoked,white shark,Y
166,Wading,M,16,Unprovoked,bull shark,N
841,Spearfishing,M,52,Provoked,white shark,N
40,Snorkeling,F,40,Unprovoked,unknown,N
1152,Surfing,M,24,Unprovoked,unknown,N
771,Scuba diving,M,26,Unprovoked,wobbegong shark,N
1026,Surfing,M,39,Unprovoked,unknown,N
1042,boarding,M,12,Unprovoked,unknown,N
1864,Wading,M,13,Unprovoked,unknown,Y
1867,Swimming,M,24,Unprovoked,unknown,Y
395,Snorkeling,F,70,Unprovoked,Other,Y
1434,Fishing,M,13,Provoked,unknown,N
1432,Other,M,43,Unprovoked,Other,N
161,Standing,M,43,Unprovoked,unknown,N
1856,Swimming,M,16,Unprovoked,unknown,Y
273,Fishing,M,58,Provoked,Other,N
490,Spearfishing,M,43,Unprovoked,white shark,N
1603,Swimming,M,37,Unprovoked,Other,N
170,Other,F,17,Unprovoked,nurse shark,N
993,Scuba diving,M,30,Unprovoked,tiger shark,N
1416,Spearfishing,M,27,Unprovoked,Other,N
1444,Fishing,M,49,Provoked,Other,N
654,Other,M,21,Provoked,Other,Y
257,Wading,M,12,Unprovoked,bull shark,N
278,Swimming,F,34,Unprovoked,tiger shark,N
780,Surfing,M,14,Unprovoked,blacktip shark,N
3,Other,M,15,Unprovoked,bull shark,N
971,Other,M,51,Unprovoked,white shark,N
676,Snorkeling,M,26,Unprovoked,white shark,Y
