Row,Activity,Sex,Age,Type,Species,Fatal
684,Other,M,16,Unprovoked,raggedoth shark,N
1497,Surfing,M,15,Unprovoked,unknown,N
296,Spearfishing,M,31,Unprovoked,tiger shark,N
964,Surfing,M,50,Unprovoked,white shark,N
1134,Other,M,36,Provoked,Other,N
422,boarding,F,18,Unprovoked,unknown,N
808,Other,M,23,Unprovoked,white shark,Y
1557,Spearfishing,M,24,Unprovoked,Other,N
15,Surfing,M,19,Unprovoked,white shark,N
451,Fishing,M,39,Provoked,Other,N
389,Fishing,M,36,Provoked,bull shark,N
958,boarding,M,15,Unprovoked,white shark,N
429,Surfing,M,35,Unprovoked,unknown,N
1675,Other,M,29,Provoked,nurse shark,N
756,Surfing,M,30,Unprovoked,unknown,N
1484,Wading,M,8,Unprovoked,Other,N
1305,Surfing,M,24,Unprovoked,unknown,N
948,boarding,M,16,Unprovoked,white shark,N
832,Spearfishing,M,44,Unprovoked,bull shark,N
1591,Swimming,M,17,Unprovoked,unknown,N
398,Snorkeling,F,70,Unprovoked,Other,N
316,Surfing,M,48,Unprovoked,white shark,N
1727,Swimming,M,40,Unprovoked,unknown,Y
1596,Spearfishing,M,22,Unprovoked,blacktip shark,N
1801,Swimming,M,25,Unprovoked,tiger shark,Y
750,Wading,M,22,Unprovoked,unknown,N
33,Spearfishing,M,25,Unprovoked,white shark,N
1287,Spearfishing,M,32,Unprovoked,white shark,N
130,Surfing,M,22,Unprovoked,blacktip shark,N
1172,Other,M,29,Unprovoked,white shark,N
520,Surfing,M,30,Unprovoked,unknown,N
1043,Fishing,F,32,Provoked,blacktip shark,N
1077,Surfing,M,23,Unprovoked,unknown,N
1148,Surfing,M,38,Unprovoked,white shark,N
149,Surfing,M,40,Unprovoked,bronze whaler,N
1410,Spearfishing,M,26,Unprovoked,Other,N
163,Swimming,M,6,Unprovoked,tiger shark,N
824,Snorkeling,F,20,Unprovoked,bronze whaler,N
173,Surfing,M,18,Unprovoked,unknown,N
124,Surfing,M,21,Unprovoked,unknown,N
678,Swimming,M,18,Unprovoked,bull shark,N
313,Fishing,M,53,Provoked,unknown,N
991,Surfing,M,22,Unprovoked,white shark,N
1251,Scuba diving,M,29,Unprovoked,white shark,N
1064,Other,F,12,Unprovoked,unknown,N
1425,Swimming,M,34,Unprovoked,white shark,Y
342,Surfing,M,17,Unprovoked,unknown,N
1443,Surfing,M,16,Unprovoked,white shark,N
618,Surfing,M,15,Unprovoked,bronze whaler,N
391,Other,M,49,Unprovoked,white shark,Y
1858,Other,F,18,Unprovoked,unknown,Y
1815,Other,M,38,Unprovoked,unknown,Y
450,Other,M,23,Unprovoked,bull shark,N
1564,Fishing,M,49,Provoked,Other,N
190,Fishing,M,20,Provoked,unknown,N
1199,Surfing,M,21,Unprovoked,unknown,N
298,Snorkeling,M,61,Unprovoked,tiger shark,N
1645,Other,M,30,Unprovoked,white shark,N
1293,Other,M,38,Unprovoked,white shark,N
915,Fishing,M,23,Unprovoked,unknown,N
165,Standing,M,9,Unprovoked,unknown,N
68,Surfing,M,48,Unprovoked,bull shark,N
249,boarding,M,24,Unprovoked,unknown,N
203,Surfing,M,15,Unprovoked,blacktip shark,N
504,Wading,M,16,Unprovoked,unknown,N
968,Surfing,M,23,Unprovoked,Other,N
1664,Other,M,22,Unprovoked,tiger shark,Y
1542,Wading,M,28,Unprovoked,unknown,N
340,Surfing,M,61,Unprovoked,bull shark,N
529,Other,M,42,Unprovoked,blacktip shark,N
1827,Swimming,M,24,Unprovoked,bull shark,Y
625,Surfing,M,15,Unprovoked,raggedoth shark,N
512,Surfing,M,49,Unprovoked,unknown,N
1700,Other,M,15,Unprovoked,unknown,Y
1349,Spearfishing,M,25,Unprovoked,white shark,N
807,Fishing,M,31,Unprovoked,unknown,N
1535,Other,M,15,Unprovoked,Other,Y
862,Swimming,M,52,Unprovoked,white shark,N
994,Snorkeling,M,27,Unprovoked,unknown,N
292,boarding,M,29,Unprovoked,bull shark,N
757,Surfing,M,23,Unprovoked,unknown,N
1396,Other,M,36,Unprovoked,white shark,N
1128,Other,M,25,Unprovoked,white shark,N
1686,Swimming,M,25,Unprovoked,white shark,Y
1032,Other,M,32,Unprovoked,white shark,N
1154,Surfing,M,25,Unprovoked,Other,N
859,Spearfishing,M,38,Unprovoked,bronze whaler,N
817,Surfing,M,31,Unprovoked,Other,N
48,Fishing,M,34,Provoked,unknown,N
1586,Standing,F,18,Unprovoked,unknown,Y
799,Surfing,M,22,Unprovoked,bull shark,N
621,Surfing,F,28,Unprovoked,tiger shark,N
1435,Scuba diving,M,25,Provoked,raggedoth shark,N
1368,Other,M,35,Provoked,grey nurse,N
1250,Other,F,33,Unprovoked,white shark,Y
376,Spearfishing,M,35,Unprovoked,unknown,N
104,Swimming,M,12,Unprovoked,wobbegong shark,N
748,Swimming,M,51,Unprovoked,unknown,N
1658,Other,M,20,Unprovoked,grey nurse,N
86,Wading,F,10,Unprovoked,Other,N
844,Surfing,M,26,Unprovoked,white shark,N
549,Surfing,M,23,Unprovoked,unknown,N
783,Surfing,M,47,Unprovoked,unknown,N
452,Swimming,M,60,Invalid,unknown,Y
1539,Standing,F,18,Provoked,tiger shark,N
1552,Surfing,M,15,Unprovoked,unknown,N
1477,Other,M,32,Unprovoked,bronze whaler,N
1572,Other,M,11,Unprovoked,unknown,N
1748,Standing,M,21,Unprovoked,unknown,N
1102,Other,M,30,Unprovoked,tiger shark,N
685,Swimming,F,77,Unprovoked,white shark,Y
1506,Other,M,17,Unprovoked,blacktip shark,N
1609,Spearfishing,M,24,Unprovoked,bronze whaler,N
408,Surfing,M,31,Unprovoked,white shark,Y
152,Surfing,M,38,Unprovoked,white shark,N
478,Spearfishing,M,15,Unprovoked,bull shark,N
85,Surfing,M,61,Unprovoked,white shark,N
444,Fishing,M,31,Unprovoked,Other,N
509,Other,F,40,Boating,white shark,N
781,Surfing,M,35,Unprovoked,unknown,N
703,Wading,M,7,Unprovoked,unknown,N
800,Standing,F,9,Unprovoked,bull shark,N
29,Wading,M,24,Provoked,Other,N
1805,Swimming,M,33,Unprovoked,Other,Y
1353,Other,M,25,Unprovoked,bull shark,N
123,Surfing,M,42,Unprovoked,white shark,N
908,Swimming,M,12,Unprovoked,Other,N
752,Surfing,M,34,Provoked,unknown,N
805,Other,M,16,Unprovoked,unknown,N
608,Spearfishing,F,28,Unprovoked,Other,N
764,Scuba diving,M,44,Unprovoked,white shark,N
1779,Fishing,M,18,Boating,white shark,N
1720,Other,M,26,Unprovoked,unknown,N
1383,Swimming,M,18,Unprovoked,unknown,N
734,Surfing,M,30,Unprovoked,unknown,N
1521,Other,M,30,Unprovoked,Other,N
319,Other,M,52,Boating,unknown,N
531,Surfing,M,20,Unprovoked,unknown,N
686,Surfing,F,38,Unprovoked,white shark,N
999,Surfing,M,31,Unprovoked,white shark,N
1240,Surfing,M,22,Unprovoked,blacktip shark,N
470,Surfing,F,17,Unprovoked,unknown,N
588,Surfing,M,24,Unprovoked,tiger shark,Y
1111,Surfing,M,28,Unprovoked,tiger shark,N
988,Surfing,M,34,Unprovoked,Other,N
1514,Other,M,25,Unprovoked,white shark,N
1403,Other,M,42,Unprovoked,raggedoth shark,N
1769,Swimming,M,30,Unprovoked,unknown,Y
1600,Fishing,M,19,Provoked,unknown,N
1567,Standing,M,24,Unprovoked,unknown,N
1025,Standing,F,15,Unprovoked,unknown,N
415,Surfing,M,55,Unprovoked,Other,N
254,Swimming,M,74,Unprovoked,white shark,Y
72,Fishing,M,73,Provoked,Other,N
271,Swimming,M,28,Unprovoked,tiger shark,N
465,Spearfishing,M,48,Provoked,unknown,N
198,Snorkeling,M,53,Unprovoked,unknown,N
1362,Surfing,M,19,Unprovoked,white shark,N
1132,Surfing,M,32,Unprovoked,white shark,N
1229,Spearfishing,M,27,Unprovoked,white shark,N
1291,Other,M,36,Unprovoked,white shark,N
439,Swimming,M,27,Unprovoked,Other,N
409,Fishing,M,45,Boating,white shark,N
1310,Swimming,F,16,Unprovoked,Other,N
1269,Swimming,M,14,Unprovoked,raggedoth shark,N
681,Other,M,18,Unprovoked,white shark,Y
262,Other,M,9,Unprovoked,unknown,N
255,Other,M,55,Unprovoked,white shark,N
1657,Other,M,14,Unprovoked,unknown,N
1357,Surfing,M,19,Unprovoked,Other,N
95,Other,F,60,Unprovoked,unknown,Y
435,boarding,F,14,Provoked,unknown,N
511,Swimming,M,14,Unprovoked,bull shark,N
1194,Surfing,M,38,Unprovoked,unknown,N
1380,Other,M,34,Unprovoked,white shark,N
810,Standing,M,43,Unprovoked,bull shark,N
43,Surfing,M,35,Unprovoked,white shark,N
946,Spearfishing,M,25,Provoked,unknown,N
1415,Other,M,32,Unprovoked,white shark,N
