Row,Activity,Sex,Age,Type,Species,Fatal
0,Other,F,57,Boating,white shark,N
1,Swimming,M,18,Unprovoked,tiger shark,Y
2,Fishing,M,52,Unprovoked,Other,N
3,Other,M,15,Unprovoked,bull shark,N
4,Other,M,32,Provoked,Other,N
5,Fishing,M,21,Invalid,Other,N
6,Other,F,34,Provoked,Other,N
7,Scuba diving,M,30,Unprovoked,tiger shark,N
8,Surfing,M,60,Unprovoked,unknown,N
9,Fishing,M,32,Unprovoked,tiger shark,N
10,Other,M,33,Unprovoked,white shark,N
11,boarding,M,29,Unprovoked,unknown,N
12,Swimming,M,54,Unprovoked,Other,N
13,Fishing,M,56,Invalid,unknown,N
14,Swimming,M,12,Unprovoked,bull shark,N
15,Surfing,M,19,Unprovoked,white shark,N
16,boarding,M,25,Unprovoked,tiger shark,N
17,Wading,M,10,Unprovoked,wobbegong shark,N
18,Swimming,M,69,Unprovoked,unknown,N
19,Surfing,M,18,Unprovoked,unknown,N
20,Scuba diving,M,38,Unprovoked,blacktip shark,N
21,Swimming,F,55,Unprovoked,white shark,N
22,Other,M,35,Unprovoked,bull shark,N
23,Other,F,46,Invalid,Other,N
24,Snorkeling,M,45,Unprovoked,Other,N
25,Spearfishing,M,14,Invalid,unknown,N
26,Other,M,28,Unprovoked,white shark,N
27,Surfing,M,20,Unprovoked,unknown,N
28,Surfing,F,54,Unprovoked,tiger shark,N
29,Wading,M,24,Provoked,Other,N
30,Snorkeling,F,25,Unprovoked,nurse shark,N
31,Scuba diving,M,26,Unprovoked,tiger shark,N
32,Scuba diving,F,49,Unprovoked,tiger shark,Y
33,Spearfishing,M,25,Unprovoked,white shark,N
34,Surfing,M,25,Unprovoked,unknown,N
35,Other,M,22,Unprovoked,tiger shark,Y
36,Snorkeling,M,7,Unprovoked,Other,N
37,Surfing,M,31,Unprovoked,wobbegong shark,N
38,Fishing,F,15,Unprovoked,white shark,N
39,Surfing,M,54,Unprovoked,tiger shark,N
40,Snorkeling,F,40,Unprovoked,unknown,N
41,Surfing,M,13,Unprovoked,unknown,N
42,Surfing,M,18,Unprovoked,unknown,N
43,Surfing,M,35,Unprovoked,white shark,N
44,Surfing,M,37,Unprovoked,white shark,N
45,Other,M,69,Unprovoked,white shark,N
46,Swimming,M,13,Unprovoked,blacktip shark,N
47,Snorkeling,F,20,Unprovoked,Other,N
48,Fishing,M,34,Provoked,unknown,N
49,Other,M,40,Boating,white shark,N
50,Other,M,50,Unprovoked,white shark,N
51,Swimming,M,46,Unprovoked,bull shark,N
52,Fishing,M,32,Provoked,tiger shark,N
53,Surfing,F,13,Unprovoked,white shark,N
54,Swimming,F,14,Unprovoked,bull shark,N
55,boarding,M,34,Unprovoked,bull shark,N
56,boarding,M,48,Unprovoked,white shark,N
57,Surfing,M,30,Unprovoked,unknown,N
58,Snorkeling,F,32,Unprovoked,tiger shark,N
59,Other,F,20,Provoked,unknown,N
60,Other,M,29,Provoked,unknown,N
61,Surfing,F,17,Unprovoked,white shark,Y
62,Surfing,M,28,Unprovoked,tiger shark,N
63,Swimming,F,17,Unprovoked,bull shark,N
64,Spearfishing,M,25,Unprovoked,unknown,N
65,Other,M,58,Unprovoked,Other,N
66,Scuba diving,M,37,Unprovoked,Other,N
67,Scuba diving,M,55,Unprovoked,bull shark,N
68,Surfing,M,48,Unprovoked,bull shark,N
69,Other,M,55,Unprovoked,white shark,N
70,Fishing,M,20,Provoked,wobbegong shark,N
71,Surfing,M,65,Unprovoked,white shark,N
72,Fishing,M,73,Provoked,Other,N
73,Other,F,58,Unprovoked,tiger shark,N
74,Surfing,M,36,Unprovoked,unknown,N
75,Surfing,M,17,Unprovoked,white shark,N
76,Swimming,F,51,Unprovoked,tiger shark,N
77,Spearfishing,M,22,Unprovoked,white shark,N
78,Surfing,M,25,Unprovoked,bull shark,N
79,Surfing,M,20,Unprovoked,bull shark,N
80,boarding,M,21,Unprovoked,tiger shark,N
81,Surfing,M,22,Unprovoked,blacktip shark,N
82,Swimming,M,40,Unprovoked,Other,N
83,Other,M,43,Provoked,nurse shark,N
84,Fishing,M,31,Provoked,Other,N
85,Surfing,M,61,Unprovoked,white shark,N
86,Wading,F,10,Unprovoked,Other,N
87,Fishing,M,59,Provoked,Other,N
88,Fishing,M,34,Provoked,Other,N
89,Scuba diving,M,59,Unprovoked,Other,N
